Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533351,Chrášťany,559,313,313,"4,79 %","0,31 %","0,00 %","8,94 %","0,00 %","9,90 %","7,02 %","0,31 %","0,63 %","2,55 %","0,31 %","0,63 %","12,46 %","0,00 %","0,00 %","1,91 %","32,90 %","0,31 %","0,31 %","3,51 %","0,00 %","0,31 %","0,00 %","0,00 %","11,50 %","1,27 %"
533360,Jestřabí Lhota,377,255,255,"9,41 %","0,00 %","0,00 %","7,05 %","0,00 %","31,37 %","6,27 %","0,39 %","2,74 %","0,78 %","0,39 %","0,00 %","6,66 %","0,00 %","0,00 %","1,17 %","24,31 %","0,00 %","0,00 %","1,56 %","0,00 %","1,56 %","0,00 %","0,00 %","5,88 %","0,39 %"
513415,Kbel,172,112,112,"6,25 %","0,00 %","0,89 %","4,46 %","0,00 %","30,35 %","6,25 %","0,89 %","0,00 %","0,89 %","0,00 %","0,00 %","8,92 %","0,00 %","0,00 %","2,67 %","29,46 %","0,00 %","0,89 %","3,57 %","0,00 %","0,00 %","0,89 %","0,00 %","3,57 %","0,00 %"
571687,Klášterní Skalice,110,78,77,"5,19 %","0,00 %","0,00 %","11,68 %","0,00 %","16,88 %","5,19 %","1,29 %","0,00 %","0,00 %","0,00 %","0,00 %","5,19 %","0,00 %","0,00 %","5,19 %","40,25 %","0,00 %","1,29 %","1,29 %","0,00 %","0,00 %","3,89 %","1,29 %","1,29 %","0,00 %"
533386,Klučov,790,451,450,"8,44 %","0,00 %","0,00 %","9,11 %","0,00 %","9,55 %","4,88 %","1,11 %","0,44 %","2,22 %","0,22 %","0,00 %","9,33 %","0,00 %","0,22 %","7,33 %","33,55 %","0,00 %","0,00 %","2,00 %","0,00 %","1,33 %","0,44 %","0,00 %","9,11 %","0,66 %"
533165,Kolín,24 468,14 830,14 765,"8,63 %","0,16 %","0,05 %","5,76 %","0,04 %","27,07 %","6,88 %","0,83 %","0,37 %","1,13 %","0,08 %","0,13 %","7,32 %","0,02 %","0,03 %","3,23 %","27,09 %","0,04 %","0,15 %","1,86 %","0,00 %","0,61 %","0,09 %","0,09 %","8,05 %","0,18 %"
533394,Konárovice,699,424,422,"7,58 %","0,71 %","0,00 %","5,45 %","0,00 %","23,22 %","5,21 %","0,94 %","0,47 %","0,71 %","0,00 %","0,00 %","6,16 %","0,23 %","0,00 %","2,36 %","32,70 %","0,00 %","0,00 %","0,71 %","0,00 %","0,23 %","0,23 %","0,00 %","12,08 %","0,94 %"
533408,Kořenice,508,310,309,"6,79 %","0,32 %","0,00 %","3,88 %","0,32 %","16,50 %","11,00 %","0,32 %","0,32 %","1,94 %","0,32 %","0,00 %","8,09 %","0,00 %","0,00 %","0,64 %","36,89 %","0,00 %","0,32 %","1,29 %","0,00 %","0,32 %","0,64 %","0,32 %","9,70 %","0,00 %"
533424,Kouřim,1 534,952,948,"12,76 %","0,63 %","0,00 %","5,27 %","0,00 %","13,71 %","9,91 %","0,73 %","0,31 %","1,47 %","0,10 %","0,00 %","9,28 %","0,00 %","0,00 %","3,90 %","30,59 %","0,00 %","0,21 %","1,89 %","0,00 %","0,84 %","0,21 %","0,52 %","7,06 %","0,52 %"
533441,Krakovany,649,419,418,"11,96 %","0,23 %","0,00 %","4,54 %","0,00 %","8,61 %","9,09 %","0,47 %","0,71 %","0,71 %","0,23 %","0,00 %","10,28 %","0,00 %","0,00 %","1,43 %","37,32 %","0,00 %","0,00 %","6,69 %","0,00 %","0,23 %","0,00 %","0,23 %","6,69 %","0,47 %"
